G｜Q1～Q10最新題目、選項與三星／六維計分總表,,,,,,,,,,,,,,,,,,,
版本：LP_SCORE_V3_2026-08-27｜Q1～Q6計三星；Q1～Q10計六維；每答案六維固定3分。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
answer_key,題號,關卡名稱,場景,題目,觀察重點,選項,答案文字,T,E,G,GD,ET,GT,PS,CE,OU,六維主維,六維次維,答案含義
Q1A,Q1,第一關｜登上學習飛船,第一次登上學習飛船，眼前出現陌生的控制台和四個按鈕。,孩子最可能先做什麼？,面對陌生任務時的啟動方式,A,看任務說明,2,0,0,2,0,0,0,0,1,目標驅動,觀察理解,先確認任務內容與完成方向
Q1B,Q1,第一關｜登上學習飛船,第一次登上學習飛船，眼前出現陌生的控制台和四個按鈕。,孩子最可能先做什麼？,面對陌生任務時的啟動方式,B,研究按鈕怎麼用,0,2,0,0,2,0,0,0,1,探索思考,觀察理解,研究控制台按鈕的作用
Q1C,Q1,第一關｜登上學習飛船,第一次登上學習飛船，眼前出現陌生的控制台和四個按鈕。,孩子最可能先做什麼？,面對陌生任務時的啟動方式,C,直接按按鈕試試,0,0,2,0,0,2,1,0,0,持續嘗試,問題解決,透過操作按鈕直接開始嘗試
Q1D,Q1,第一關｜登上學習飛船,第一次登上學習飛船，眼前出現陌生的控制台和四個按鈕。,孩子最可能先做什麼？,面對陌生任務時的啟動方式,D,想一個新玩法再試試,0,1,1,0,0,1,0,2,0,創意表達,持續嘗試,自己想出新玩法並動手嘗試
Q2A,Q2,第二關｜神祕星球,飛船降落在神祕星球，孩子遇到一個沒有說明、打不開的神祕盒子。,為了打開盒子，孩子最可能怎麼做？,面對未知事物時的理解與處理方式,A,找找開盒提示,2,0,0,1,0,0,2,0,0,問題解決,目標驅動,尋找能幫助打開盒子的提示
Q2B,Q2,第二關｜神祕星球,飛船降落在神祕星球，孩子遇到一個沒有說明、打不開的神祕盒子。,為了打開盒子，孩子最可能怎麼做？,面對未知事物時的理解與處理方式,B,仔細研究盒子機關,0,2,0,0,2,0,0,0,1,探索思考,觀察理解,仔細研究盒子的構造與機關
Q2C,Q2,第二關｜神祕星球,飛船降落在神祕星球，孩子遇到一個沒有說明、打不開的神祕盒子。,為了打開盒子，孩子最可能怎麼做？,面對未知事物時的理解與處理方式,C,想不同方法試試,0,0,2,0,0,1,0,2,0,創意表達,持續嘗試,想出不同做法並嘗試
Q2D,Q2,第二關｜神祕星球,飛船降落在神祕星球，孩子遇到一個沒有說明、打不開的神祕盒子。,為了打開盒子，孩子最可能怎麼做？,面對未知事物時的理解與處理方式,D,先觀察，再猜一個方法試試,0,1,1,0,2,0,0,0,1,探索思考,觀察理解,先觀察線索，形成猜想後再試
Q3A,Q3,第三關｜穿越隕石風暴,飛船前方出現隕石風暴，需要繼續前進。,飛船遇上隕石風暴時，孩子最可能怎麼做？,遇到阻礙時的處理起點,A,換一條航線,0,0,2,0,0,0,2,1,0,問題解決,創意表達,改用另一條路線前進
Q3B,Q3,第三關｜穿越隕石風暴,飛船前方出現隕石風暴，需要繼續前進。,飛船遇上隕石風暴時，孩子最可能怎麼做？,遇到阻礙時的處理起點,B,找出隕石規律,0,2,0,0,0,0,2,0,1,問題解決,觀察理解,觀察並找出隕石移動規律
Q3C,Q3,第三關｜穿越隕石風暴,飛船前方出現隕石風暴，需要繼續前進。,飛船遇上隕石風暴時，孩子最可能怎麼做？,遇到阻礙時的處理起點,C,確認方向再前進,2,0,0,2,0,0,1,0,0,目標驅動,問題解決,確認目的地與方向後前進
Q3D,Q3,第三關｜穿越隕石風暴,飛船前方出現隕石風暴，需要繼續前進。,飛船遇上隕石風暴時，孩子最可能怎麼做？,遇到阻礙時的處理起點,D,停一下再試,1,0,1,1,0,2,0,0,0,持續嘗試,目標驅動,先暫停調整，之後再嘗試
Q4A,Q4,第四關｜四顆神祕星球,孩子可以選擇一顆星球開始新的旅程。,孩子最想前往哪一顆星球？,偏好的任務體驗,A,挑戰星球｜完成任務,2,0,0,2,0,0,1,0,0,目標驅動,問題解決,喜歡朝明確任務前進
Q4B,Q4,第四關｜四顆神祕星球,孩子可以選擇一顆星球開始新的旅程。,孩子最想前往哪一顆星球？,偏好的任務體驗,B,發現星球｜找出祕密,0,2,0,0,2,0,0,0,1,探索思考,觀察理解,喜歡探索並理解未知內容
Q4C,Q4,第四關｜四顆神祕星球,孩子可以選擇一顆星球開始新的旅程。,孩子最想前往哪一顆星球？,偏好的任務體驗,C,探險星球｜邊冒險邊想新玩法,0,0,2,0,0,2,0,1,0,持續嘗試,創意表達,喜歡從實際體驗累積經驗，也會加入自己的玩法
